!         Rho          Vso          Rmu           Alt
   1.2260       340.00      0.17800E-04   0.0000    
!         Rad          Vel          Adv          Rake
   1.4500       8.2240      0.36350       1.0000    
!         XI0          XIW
  0.91724E-01   0.0000    
!   II Nblds
   100     2
!         r/R          C/R     Beta0deg         Ubody
  0.92386E-01  0.97044E-01   74.949       0.0000    
  0.94979E-01  0.97049E-01   74.687       0.0000    
  0.99967E-01  0.97350E-01   74.087       0.0000    
  0.10702      0.98242E-01   73.204       0.0000    
  0.11575      0.99859E-01   72.097       0.0000    
  0.12581      0.10218       70.824       0.0000    
  0.13690      0.10509       69.434       0.0000    
  0.14878      0.10842       67.967       0.0000    
  0.16126      0.11200       66.455       0.0000    
  0.17420      0.11566       64.922       0.0000    
  0.18750      0.11931       63.386       0.0000    
  0.20107      0.12285       61.860       0.0000    
  0.21485      0.12616       60.357       0.0000    
  0.22879      0.12924       58.884       0.0000    
  0.24285      0.13202       57.447       0.0000    
  0.25699      0.13449       56.049       0.0000    
  0.27120      0.13665       54.695       0.0000    
  0.28544      0.13848       53.385       0.0000    
  0.29970      0.13998       52.122       0.0000    
  0.31396      0.14119       50.905       0.0000    
  0.32822      0.14208       49.736       0.0000    
  0.34245      0.14269       48.612       0.0000    
  0.35665      0.14305       47.533       0.0000    
  0.37081      0.14316       46.499       0.0000    
  0.38491      0.14302       45.509       0.0000    
  0.39896      0.14269       44.560       0.0000    
  0.41295      0.14215       43.651       0.0000    
  0.42686      0.14144       42.782       0.0000    
  0.44069      0.14056       41.951       0.0000    
  0.45444      0.13952       41.132       0.0000    
  0.46809      0.13837       40.301       0.0000    
  0.48166      0.13710       39.504       0.0000    
  0.49512      0.13570       38.740       0.0000    
  0.50848      0.13423       38.006       0.0000    
  0.52172      0.13243       37.310       0.0000    
  0.53486      0.13092       36.631       0.0000    
  0.54787      0.12928       35.982       0.0000    
  0.56076      0.12755       35.359       0.0000    
  0.57353      0.12573       34.763       0.0000    
  0.58617      0.12384       34.191       0.0000    
  0.59867      0.12188       33.643       0.0000    
  0.61103      0.11987       33.118       0.0000    
  0.62325      0.11778       32.616       0.0000    
  0.63533      0.11565       32.134       0.0000    
  0.64726      0.11347       31.673       0.0000    
  0.65903      0.11128       31.230       0.0000    
  0.67065      0.10904       30.806       0.0000    
  0.68211      0.10680       30.398       0.0000    
  0.69341      0.10453       30.008       0.0000    
  0.70455      0.10224       29.634       0.0000    
  0.71552      0.99933E-01   29.276       0.0000    
  0.72631      0.97625E-01   28.932       0.0000    
  0.73694      0.95311E-01   28.603       0.0000    
  0.74738      0.92997E-01   28.287       0.0000    
  0.75765      0.90678E-01   27.918       0.0000    
  0.76773      0.88369E-01   27.541       0.0000    
  0.77763      0.86061E-01   27.176       0.0000    
  0.78734      0.83767E-01   26.824       0.0000    
  0.79687      0.81473E-01   26.484       0.0000    
  0.80620      0.79206E-01   26.156       0.0000    
  0.81533      0.76937E-01   25.840       0.0000    
  0.82427      0.74690E-01   25.534       0.0000    
  0.83300      0.72465E-01   25.239       0.0000    
  0.84154      0.70247E-01   24.955       0.0000    
  0.84987      0.68035E-01   24.682       0.0000    
  0.85800      0.65865E-01   24.417       0.0000    
  0.86591      0.63696E-01   24.163       0.0000    
  0.87362      0.61551E-01   23.919       0.0000    
  0.88111      0.59424E-01   23.684       0.0000    
  0.88839      0.57327E-01   23.457       0.0000    
  0.89546      0.55248E-01   23.239       0.0000    
  0.90230      0.53183E-01   23.030       0.0000    
  0.90893      0.51135E-01   22.831       0.0000    
  0.91533      0.49128E-01   22.637       0.0000    
  0.92151      0.47113E-01   22.455       0.0000    
  0.92747      0.45142E-01   22.278       0.0000    
  0.93320      0.43168E-01   22.112       0.0000    
  0.93870      0.41223E-01   21.952       0.0000    
  0.94397      0.39315E-01   21.798       0.0000    
  0.94902      0.37411E-01   21.654       0.0000    
  0.95383      0.35506E-01   21.560       0.0000    
  0.95840      0.33647E-01   21.477       0.0000    
  0.96275      0.31795E-01   21.402       0.0000    
  0.96686      0.29971E-01   21.329       0.0000    
  0.97073      0.28156E-01   21.263       0.0000    
  0.97436      0.26350E-01   21.204       0.0000    
  0.97776      0.24582E-01   21.144       0.0000    
  0.98092      0.22835E-01   21.088       0.0000    
  0.98384      0.21075E-01   21.046       0.0000    
  0.98651      0.19369E-01   20.998       0.0000    
  0.98895      0.17656E-01   20.965       0.0000    
  0.99114      0.16023E-01   20.921       0.0000    
  0.99310      0.14403E-01   20.891       0.0000    
  0.99481      0.12859E-01   20.859       0.0000    
  0.99627      0.11372E-01   20.848       0.0000    
  0.99749      0.10028E-01   20.835       0.0000    
  0.99847      0.88827E-02   20.812       0.0000    
  0.99920      0.79890E-02   20.772       0.0000    
  0.99969      0.72756E-02   20.807       0.0000    
  0.99994      0.69692E-02   20.777       0.0000    
!      URDuct
   1.0000    
